entry_date,exit_date,direction,entry_level,exit_level,pnl_pct,reason,exit_reason,hold_days
2014-07-23,2014-07-24,SHORT,81.47177629016913,82.20369216835621,-0.898,signal_entry,circuit_breaker,1
2014-08-07,2014-08-08,LONG,87.81935940341185,89.78343874268882,2.236,signal_entry,circuit_breaker,1
2014-08-22,2014-08-25,SHORT,88.28348332429782,87.86853424891476,0.47,signal_entry,circuit_breaker,3
2014-09-08,2014-09-09,LONG,91.66450005259415,91.52741152975845,-0.15,signal_entry,circuit_breaker,1
2014-09-23,2014-09-24,LONG,92.86231127006035,94.70555155825778,1.985,signal_entry,circuit_breaker,1
2014-10-10,2014-10-13,LONG,94.51854421446946,94.46497681546423,-0.057,signal_entry,circuit_breaker,3
2014-10-27,2014-10-28,LONG,90.97988653231985,92.36680871909746,1.524,signal_entry,circuit_breaker,1
2014-11-11,2014-11-12,SHORT,94.12583291760093,95.96797835717052,-1.957,signal_entry,circuit_breaker,1
2014-11-26,2014-11-27,LONG,99.587860899229,99.91089819312496,0.324,signal_entry,circuit_breaker,1
2014-12-11,2014-12-12,SHORT,113.10458174777887,115.04621258274756,-1.717,signal_entry,circuit_breaker,1
2014-12-26,2014-12-29,SHORT,112.81885868667868,111.90817338468833,0.807,signal_entry,circuit_breaker,3
2015-01-13,2015-01-14,LONG,119.97410880598343,115.79711570800558,-3.482,signal_entry,circuit_breaker,1
2015-01-28,2015-01-29,LONG,128.6839275644769,125.63082112462959,-2.373,signal_entry,circuit_breaker,1
2015-02-12,2015-02-13,SHORT,119.56451807160292,123.1630949013473,-3.01,signal_entry,circuit_breaker,1
2015-03-03,2015-03-04,SHORT,128.9308185388319,130.64138842554533,-1.327,signal_entry,circuit_breaker,1
2015-03-18,2015-03-19,SHORT,135.57026586263206,136.93078656383616,-1.004,signal_entry,circuit_breaker,1
2015-04-02,2015-04-03,LONG,148.46707852081113,148.4555917225466,-0.008,signal_entry,circuit_breaker,1
2015-04-17,2015-04-20,SHORT,157.1290169750073,158.647501854586,-0.966,signal_entry,circuit_breaker,3
2015-05-04,2015-05-05,SHORT,167.38876109168007,164.9853608186614,1.436,signal_entry,circuit_breaker,1
2015-05-19,2015-05-20,LONG,176.44522500986412,177.87530651830926,0.81,signal_entry,circuit_breaker,1
2015-06-03,2015-06-04,LONG,211.08189208574223,204.30833144846932,-3.209,signal_entry,circuit_breaker,1
2015-06-18,2015-06-19,SHORT,195.1281486582717,180.80370399895057,7.341,signal_entry,circuit_breaker,1
2015-07-03,2015-07-06,SHORT,122.24814156109585,126.3153622375675,-3.327,signal_entry,circuit_breaker,3
2015-07-20,2015-07-21,SHORT,135.0117428123753,136.744713150169,-1.284,signal_entry,circuit_breaker,1
2015-08-04,2015-08-05,SHORT,125.93947352210014,123.26706450804232,2.122,signal_entry,circuit_breaker,1
2015-08-19,2015-08-20,SHORT,133.56818742082396,133.20842756989683,0.269,signal_entry,circuit_breaker,1
2015-09-03,2015-09-04,SHORT,104.85487717762908,104.85487717762908,-0.0,signal_entry,circuit_breaker,1
2015-09-18,2015-09-21,SHORT,100.71980104705804,103.06332548652128,-2.327,signal_entry,circuit_breaker,3
2015-10-05,2015-10-08,LONG,99.07334920831234,103.63461206404985,4.604,signal_entry,circuit_breaker,3
2015-10-22,2015-10-23,SHORT,112.48408707461822,114.36490601583756,-1.672,signal_entry,circuit_breaker,1
2015-11-06,2015-11-09,SHORT,118.87076059700863,118.921608632066,-0.043,signal_entry,circuit_breaker,3
2015-11-23,2015-11-24,SHORT,128.9517279736166,127.32522114547847,1.261,signal_entry,circuit_breaker,1
